series,label,outcome,value,unit,sample_n,reported_p,reported_significance,source
"annual_accounts","2021","Combined Weixin and WeChat monthly active accounts","1268.2","million accounts","","","","Tencent2022"
"annual_accounts","2022","Combined Weixin and WeChat monthly active accounts","1313.2","million accounts","","","","Tencent2022"
"annual_accounts","2023","Combined Weixin and WeChat monthly active accounts","1343","million accounts","","","","TencentHKEX2026"
"annual_accounts","2024","Combined Weixin and WeChat monthly active accounts","1385","million accounts","","","","Tencent2025"
"annual_accounts","2025","Combined Weixin and WeChat monthly active accounts","1418","million accounts","","","","Tencent2025"
"interim_snapshot","30 June 2026","Combined monthly active accounts","1439","million accounts","","","","TencentInterim2026"
"annual_additions","2022","Net year-end change","45","million accounts","","","","Derived from annual_accounts"
"annual_growth_percent","2022","Year-on-year account growth","3.55","percent","","","","Derived from annual_accounts"
"annual_additions","2023","Net year-end change","29.8","million accounts","","","","Derived from annual_accounts"
"annual_growth_percent","2023","Year-on-year account growth","2.27","percent","","","","Derived from annual_accounts"
"annual_additions","2024","Net year-end change","42","million accounts","","","","Derived from annual_accounts"
"annual_growth_percent","2024","Year-on-year account growth","3.13","percent","","","","Derived from annual_accounts"
"annual_additions","2025","Net year-end change","33","million accounts","","","","Derived from annual_accounts"
"annual_growth_percent","2025","Year-on-year account growth","2.38","percent","","","","Derived from annual_accounts"
"commerce_correlations","Utilitarian value","Repurchase intention","0.661","correlation r","514","Not represented in poster","","GuoLi2022 Table 4"
"commerce_correlations","Hedonic value","Repurchase intention","0.584","correlation r","514","Not represented in poster","","GuoLi2022 Table 4"
"commerce_correlations","Recommendations","Repurchase intention","0.417","correlation r","514","Not represented in poster","","GuoLi2022 Table 4"
"commerce_correlations","Feedback","Repurchase intention","0.414","correlation r","514","Not represented in poster","","GuoLi2022 Table 4"
"commerce_correlations","Interactivity","Repurchase intention","0.404","correlation r","514","Not represented in poster","","GuoLi2022 Table 4"
"value_model_paths","Utilitarian value","Repurchase intention","0.485","standardized beta","514","< .001","true","GuoLi2022 Figure 2"
"value_model_paths","Hedonic value","Repurchase intention","0.284","standardized beta","514","< .001","true","GuoLi2022 Figure 2"
"social_capital_paths","Association","bonding","0.11","standardized beta","740","< .05","true","ZhangJung2023 Structural model"
"social_capital_paths","Association","bridging","0.04","standardized beta","740","= .31","false","ZhangJung2023 Structural model"
"social_capital_paths","Private interaction","bonding","0.14","standardized beta","740","< .01","true","ZhangJung2023 Structural model"
"social_capital_paths","Private interaction","bridging","0.07","standardized beta","740","= .12","false","ZhangJung2023 Structural model"
"social_capital_paths","Broadcasting","bonding","0.01","standardized beta","740","= .78","false","ZhangJung2023 Structural model"
"social_capital_paths","Broadcasting","bridging","0.13","standardized beta","740","< .05","true","ZhangJung2023 Structural model"
"social_capital_paths","Reviewability","bonding","-0.02","standardized beta","740","= .68","false","ZhangJung2023 Structural model"
"social_capital_paths","Reviewability","bridging","0.11","standardized beta","740","< .05","true","ZhangJung2023 Structural model"
"overload_paths","Social comparison","fatigue","0.137","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Social comparison","anxiety","0.19","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Privacy concern","fatigue","0.207","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Privacy concern","anxiety","0.209","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Information overload","fatigue","0.097","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Information overload","anxiety","0.228","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Functional overload","fatigue","0.187","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Functional overload","anxiety","0.221","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Social overload","fatigue","0.301","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"overload_paths","Social overload","anxiety","0.214","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"lurking_paths","Fatigue","Lurking","0.291","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"lurking_paths","Anxiety","Lurking","0.126","standardized beta","836","< .01","true","LiuEtAl2024 Section 5.3 / Figure 2"
"sample_daily_time_count","< 2 h","Respondents","309","count","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_percent","< 2 h","Respondents","37","sample percent","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_count","2–4 h","Respondents","374","count","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_percent","2–4 h","Respondents","44.7","sample percent","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_count","4–6 h","Respondents","105","count","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_percent","4–6 h","Respondents","12.6","sample percent","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_count","> 6 h","Respondents","48","count","836","","","LiuEtAl2024 Table 1"
"sample_daily_time_percent","> 6 h","Respondents","5.7","sample percent","836","","","LiuEtAl2024 Table 1"
